row_id,datatype_value
629,TRFE_HUMAN
630,TRPM6_HUMAN
631,TTPA_HUMAN
632,TXTP_HUMAN
633,TY3H_HUMAN
634,U5YWV7_HUMAN
635,U5Z754_HUMAN
636,U5Z977_HUMAN
637,U5ZC31_HUMAN
638,UD11_HUMAN
639,UROM_HUMAN
640,V9HW45_HUMAN
641,V9HW60_HUMAN
642,V9HWB2_HUMAN
643,V9HWB9_HUMAN
644,V9HWE7_HUMAN
645,V9HWF4_HUMAN
646,V9HWJ1_HUMAN
647,V9HWN7_HUMAN
648,X5D299_HUMAN
649,X5D8S1_HUMAN
650,X5DQN2_HUMAN
651,X5DQP6_HUMAN
652,X5DR28_HUMAN
653,X6R390_HUMAN
654,X6R5C5_HUMAN
655,X6R8A1_HUMAN
656,YLAT1_HUMAN
